Registro,Modalidad,Responsable,Estado,Municipio,Ubicación,Tipo de evento,Actividad del responsable de la contaminación SCIAN 2023 - Clase,Actividad del responsable de la contaminación SCIAN 2023 - Subsector,Contaminante (específico),Contaminante (genérico),Área de suelo contaminado m²,Volumen de suelo contaminado m³,Programa de remediación aprobado,x,y,Técnica,Responsable de la remediación,Proceso de tratamiento,Año de conclusión,Área de suelo remediado m²,Año de identificación,Volumen de suelo remediado m³
36,,,,,Km 072+500 carretera Matías Romero-Sayula de Alemán,,,,,,,,,,,Combinación de procesos biológicos-disposición final,"Integración de Servicios Ambientales & Limpieza Industrial, S.A. de C.V.",Biorremediación por landfarming en el sitio contaminado y disposición final fuera del sitio,2009,312.69,,185.1
38,,,,,Km 050+150 carretera Puente de Ixtla-Iguala tramo Las Cumbres,,,,,,,,,,,Biológicos,"Integración de Servicios Ambientales & Limpieza Industrial, S.A. de C.V.",Biorremediación por landfarming a un lado del sitio contaminado,2009,442.99,,225
39,Emergencia ambiental,"Industria de Silicato Mexicano, S.A. de C.V.",Puebla,Venustiano Carranza,Km 172+300 carretera nacional No. 130 Pachuca-Tuxpan,Derrame,Fabricación de otros productos químicos básicos inorgánicos,Industria química,Bases,Ácidos y bases,720.85,360.4,Si,-97.657,20.48,,,,,,2008,
40,,,,,Km 043+50 carretera Puente de Ixtla-Iguala,,,,,,,,,,,Biológicos,"Integración de Servicios Ambientales & Limpieza Industrial, S.A. de C.V.",Biorremediación por biopilas a un lado del sitio contaminado,2009,161.7,,161.7
42,,,,,"Km 057+000 carretera No.70 Tampico -Sánchez Román, tramo Ciudad Valles-Canoas",,,,,,,,,,,Químicos,"Ecología 2000, S.A. de C.V.",Neutralización química a un lado del sitio contaminado,2008,216,,122
44,,,,,"Km 194+400 carretera federal No. 02 P.G.L.V.-Tijuana, tramo Ascensión-Janos",,,,,,,,,,,Biológicos,"Ecología 2000, S.A. de C.V.",Biorremediación por landfarming a un lado del sitio contaminado,2008,270,,176.9
45,,,,,"Km 063+300 carretera No. 130 México-Tuxpan, tramo Tulancingo-Acaxochitlán",,,,,,,,,,,Biológicos,"Ecología 2000, S.A. de C.V.",Biorremediación por landfarming a un lado del sitio contaminado,2008,168,,56.4
47,,,,,"Km 046+800 carretera No. 200 Acapulco-Zihuatanejo, tramo San Jerónimo-El Ciruelar",,,,,,,,,,,Biológicos,"Ecología 2000, S.A. de C.V.",Biorremediación por biopilas a un lado del sitio contaminado,2008,488,,385.9
48,,,,,"Km 079+050 carretera nacional No.200 Tepic-Puente Talismán Chiapas, tramo entronque La Unión-límite con Michoacán",,,,,,,,,,,Químicos,"Ecología 2000, S.A. de C.V.",Neutralización química a un lado del sitio contaminado,2008,216,,122
49,,,,,"Km 099+800 carretera federal No. 200 Tepic-Talismán, tramo Arriaga-Tres Picos",,,,,,,,,,,Biológicos,"Ecología 2000, S.A. de C.V.",Biorremediación por landfarming a un lado del sitio contaminado,2008,90,,348
50,,,,,"Km 025+000 carretera No. 95D Miguel Alemán, tramo México-Cuernavaca",,,,,,,,,,,Biológicos,"Ecología 2000, S.A. de C.V.",Biorremediación por landfarming a un lado del sitio contaminado,2008,444,,354
51,,,,,"Km 027+750 carretera federal No. 43-D Morelia Salamanca, tramo Copándaro-La Cinta",,,,,,,,,,,Biológicos,"Ecología 2000, S.A. de C.V.",Biorremediación por landfarming a un lado del sitio contaminado,2008,204,,205
52,,,,,"Km 035+500 carretera federal No. 200 Tepic-Puente Talismán, tramo Tapanatepec-Arriaga",,,,,,,,,,,Biológicos,"Ecología 2000, S.A. de C.V.",Biorremediación por biopilas a un lado del sitio contaminado,2008,475,,385
53,,,,,"Km 22 de camino de Terracería, entronque San Fernando kilómetro 60 de Camargo-Ojinaga Mineral de Hércules",,,,,,,,,,,Biológicos,"Integración de Servicios Ambientales & Limpieza Industrial, S.A. de C.V.",Biorremediación por biopilas a un lado del sitio contaminado,2009,656.55,,1400
54,,,,,"Km 124 carretera La Paz-San José del Cabo, poblado San Bartolo",,,,,,,,,,,Biológicos,"Integración de Servicios Ambientales & Limpieza Industrial, S.A. de C.V.",Biorremediación por biopilas a un lado del sitio contaminado,2009,424.74,,374.4
55,,,,,Km 145+500 camino nacional No. 145D Kantunil-Cancún,,,,,,,,,,,Biológicos,"Integración de Servicios Ambientales & Limpieza Industrial, S.A. de C.V.",Biorremediación por landfarming en el sitio contaminado,2009,401.1,,205
56,Pasivo ambiental,Comisión Federal de Electricidad,México,Tlalnepantla de Baz,Bodega W avenida Santa Cecilia No. 211-A,Derrames y/o fugas,Generación de electricidad a partir de combustibles fósiles,"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",Petrolíferos,Hidrocarburos,27.96,72.69,Si,-99.178,19.551,,,,,,2008,
57,Emergencia ambiental,Pemex Refinación,Puebla,Huauchinango,"Km 099+700 oleoducto de 24""-12""-14"" Ø Poza Rica-Juandhó-San Juan del Río-Salamanca, poblado de Mesa de Capulines ",Derrame,Refinación de petróleo,Fabricación de productos derivados del petróleo y del carbón,Petróleo crudo,Hidrocarburos,1878,3731.71,Si,-98.087,20.146,,,,,,2008,
58,,,,,"Km 231+000 carretera federal No. 190 México Ciudad Cuauhtémoc, tramo El Camarón-Tehuantepec",,,,,,,,,,,Biológicos,"Ecología 2000, S.A. de C.V.",Biorremediación por landfarming en el sitio contaminado,2008,328,,492
59,,,,,"Km 14+600 carretera federal No. 37 Carapan-Playa Azul, tramo Carapan-Uruapan",,,,,,,,,,,Biológicos,"Ecología 2000, S.A. de C.V.",Biorremediación por biopilas a un lado del sitio contaminado,2008,22,,44
60,Emergencia ambiental,"Autotanques Nieto, S.A. de C.V.",Nayarit,Compostela,Km 052+700 carretera federal No. 200 Puente Talismán-Compostela,Derrame,Otro autotransporte foráneo de carga especializado,Autotransporte de carga,Petrolíferos,Hidrocarburos,190,52.7,Si,-104.901,21.237,,,,,,2008,
61,Emergencia ambiental,"Carel Express, S.A. de C.V.",Tamaulipas,González,Km 024+040 carretera federal González -Ciudad Victoria,Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,604,18.2,Si,-98.452,22.953,,,,,,2008,
62,,,,,Km 115+300 carretera federal Acapulco-Zihuatanejo,,,,,,,,,,,Biológicos,"Ingeniería Ecológica del Sureste, S.A. de C.V.",Biorremediación por landfarming a un lado del sitio contaminado,2009,26,,36.4
63,Emergencia ambiental,"Kansas City Southern de México, S.A. de C.V.",Tamaulipas,Matamoros,Placa kilométrica 290+900,Derrame,Transporte por ferrocarril,Transporte por ferrocarril,Petrolíferos,Hidrocarburos,N.E.I.,N.E.I.,Si,-97.857,25.982,,,,,,2008,
64,Emergencia ambiental,"Kansas City Southern de México, S.A. de C.V.",Guanajuato,Comonfort,Estación ferroviaria de Escobedo,Derrame,Transporte por ferrocarril,Transporte por ferrocarril,Petrolíferos,Hidrocarburos,N.E.I.,N.E.I.,Si,-100.759,20.724,,,,,,2008,
65,Emergencia ambiental,"Transmate, S.A. de C.V.",Michoacán_de_Ocampo,Uruapan,Km 084+400 carretera federal No. 37 Carapan-Playa Azul,Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Ácidos,Ácidos y bases,456.02,838.3,Si,-102.057,19.355,,,,,,2008,
66,,,,,Km 067+900 carretera No. 15D México-Nogales,,,,,,,,,,,Químicos,"Ecología 2000, S.A. de C.V.",Neutralización química a un lado del sitio contaminado,2008,100,,70
67,,,,,Km 048+700 camino nacional No. 190 México-Ciudad Cuauhtémoc,,,,,,,,,,,Biológicos,"Integración de Servicios Ambientales & Limpieza Industrial, S.A. de C.V.",Biorremediación por biopilas a un lado del sitio contaminado,2010,1507.9,,746.4
68,Pasivo ambiental,"Organización Ideal, S. de R.L. de C.V.",Guerrero,Acapulco de Juárez,"Playa Revolcadero S  colonia Granjas del Marques, C.P. 39894",Derrames y/o fugas,Hoteles con otros servicios integrados,Servicios de alojamiento temporal,Petrolíferos,Hidrocarburos,240,576,No,-99.823,16.792,,,,,,2008,
69,,,,,Km 43.5 carretera transpeninsular S  colonia Veredas,,,,,,,,,,,Biológicos,"Universidad Nacional Autónoma de México, Instituto de Ingeniería ",Biorremediación por biopilas a un lado del sitio contaminado,2009,9,,217
70,,,,,Km 217+800 autopista Kantunil-Cancún,,,,,,,,,,,Biológicos,"Integración de Servicios Ambientales & Limpieza Industrial, S.A. de C.V.",Biorremediación por landfarming a un lado del sitio contaminado,2009,315,,189
71,,,,,Km 145+800 carretera internacional México No. 15,,,,,,,,,,,Biológicos,"Integración de Servicios Ambientales & Limpieza Industrial, S.A. de C.V.",Biorremediación por landfarming en el sitio contaminado,2009,313,,124.45
72,,,,,Km 090+200 carretera Coatzacoalcos-Villahermosa ,,,,,,,,,,,Biológicos,"Ecología 2000, S.A. de C.V.",Biorremediación por landfarming a un lado del sitio contaminado,2008,1135,,286
73,,,,,Km 035+100 carretera estatal Mante-Ciudad Victoria,,,,,,,,,,,Térmicos,"Ecología 2000, S.A. de C.V.",Desorción térmica,2008,1319,,122
75,Emergencia ambiental,"Servicio La Guardesa, S.A. de C.V.",México,Xonacatlán,Carretera Toluca-Naucalpan km 47,Fuga,Comercio al por menor de gasolina y diésel,"Comercio al por menor de vehículos de motor, refacciones, combustibles y lubricantes",Hidrocarburos,Hidrocarburos,951.89,7211.92,Si,-99.439,19.421,,,,,,2008,
76,,,,,Km 177+000 carretera No. 185 Coatzacoalcos-Salina Cruz,,,,,,,,,,,Biológicos,"Integración de Servicios Ambientales & Limpieza Industrial, S.A. de C.V.",Biorremediación por biopilas a un lado del sitio contaminado,2009,565.66,,272.84
77,,,,,Km 016+100 autopista Colima-Manzanillo,,,,,,,,,,,Biológicos,"Ecología 2000, S.A. de C.V.",Biorremediación por biopilas a un lado del sitio contaminado,2008,230,,125
78,,,,,Km 210+500 carretera Monterrey-Nuevo Laredo,,,,,,,,,,,Biológicos,"Integración de Servicios Ambientales & Limpieza Industrial, S.A. de C.V.",Biorremediación por biopilas a un lado del sitio contaminado,2009,279,,293
79,,,,,"Km 179+100 carretera Saltillo-Zacatecas, entronque San Tiburcio",,,,,,,,,,,Biológicos,"Integración de Servicios Ambientales & Limpieza Industrial, S.A. de C.V.",Biorremediación por landfarming a un lado del sitio contaminado,2010,1085.11,,708.4
80,,,,,Km 115+400 carretera federal No. 45 México-Ciudad Juárez,,,,,,,,,,,Biológicos,"Integración de Servicios Ambientales & Limpieza Industrial, S.A. de C.V.",Biorremediación por biopilas a un lado del sitio contaminado,2009,469,,274.4
81,,,,,"Km 031+500 autopista Colima-Manzanillo, tramo Tecoñapa-entronque Recomán",,,,,,,,,,,Químicos,"Ecología 2000, S.A. de C.V.",Neutralización química a un lado del sitio contaminado,2008,900,,168
82,Emergencia ambiental,"Sociedad Cooperativa de Autotransportes 13 de Julio, S.C.L.",Tabasco,Cárdenas,Km 110+300 carretera de cuota No. 180D Las Choapas-Ocosocuautla ,Derrame,Transporte colectivo urbano y suburbano de pasajeros en autobuses de ruta fija,Autotransporte de carga,Petrolíferos,Hidrocarburos,126,126,Si,-93.596,17.371,,,,,,2008,
83,Pasivo ambiental,"Asesoría, Montaje y Mantenimiento Mecánico, S.A. de C.V.",Chihuahua,Chihuahua,"Calle 3a y Arroyo de Magallanes No. 8300, colonia Nombre de Dios",Derrames y/o fugas,Reparación y mantenimiento de maquinaria y equipo industrial,Servicios de reparación y mantenimiento,Otros contaminantes no normados,Otros contaminantes no normados,N.E.I.,380,Si,-106.085,28.694,,,,,,2008,
85,,,,,"Km 001+500 carretera No. 57 México-Ciudad Juárez, tramo Querétaro-Salamanca",,,,,,,,,,,Químicos,"Ecología 2000, S.A. de C.V.",Neutralización química a un lado del sitio contaminado,2008,917,,435
86,,,,,"Carretera a San José Guaymas, C.P. 85509",,,,,,,,,,,Biológicos,"Universidad Nacional Autónoma de México, Instituto de Ingeniería",Biorremediación por biopilas a un lado del sitio contaminado,2009,3,,5.05
87,,,,,Km 186+000 carretera Ciudad Juárez-Janos,,,,,,,,,,,Biológicos,"Integración de Servicios Ambientales & Limpieza Industrial, S.A. de C.V.",Biorremediación por landfarming en el sitio contaminado,2009,237.98,,178.48
88,,,,,"Km 106+350 carretera federal No. 190 México-Ciudad Cuauhtémoc, tramo Totolápam-El Camarón",,,,,,,,,,,Biológicos,"Integración de Servicios Ambientales & Limpieza Industrial, S.A. de C.V.",Biorremediación por biopilas a un lado del sitio contaminado,2009,406.6,,355.87
89,,,,,"Km 201+950 carretera federal No.45 México-Ciudad Juárez, tramo Delicias-Chihuahua",,,,,,,,,,,Biológicos,"Integración de Servicios Ambientales & Limpieza Industrial, S.A. de C.V.",Biorremediación por biopilas a un lado del sitio contaminado,2009,608.5,,273.75
90,,,,,Km 008+500 del entronque Escénica con la carretera Campeche-Lerma,,,,,,,,,,,Disposición final,N.E.I.,Disposición final fuera del sitio,2010,111.7,,368.93
91,Emergencia ambiental,Estación de Servicio ES-303,México,Tlalnepantla de Baz,"Calzada de los Jinetes No. 40 D-3, lotes 39, 40 y 41, manzana 40-D, colonia Las Arboledas",Derrames y/o fugas,Comercio al por menor de gasolina y diésel,"Comercio al por menor de vehículos de motor, refacciones, combustibles y lubricantes",Hidrocarburos,Hidrocarburos,N.E.I.,N.E.I.,Si,-99.214,19.556,,,,,,2008,
92,,,,,Lago Zurich No. 219 y 243 colonia Anáhuac,,,,,,,,,,,Disposición final,"Germen, S.A. de C.V.",Disposición final fuera del sitio,2009,3220,,2832.77
93,Emergencia ambiental,"Ferrocarril Mexicano, S.A. de C.V.",Sinaloa,Mazatlán,"Zona de Abastos de la Estación de Mazatlán, domicilio conocido, colonia La Esperanza",Derrame,Transporte por ferrocarril,Transporte por ferrocarril,Petrolíferos,Hidrocarburos,173.62,3279,Si,-106.397,23.238,,,,,,2008,
94,,,,,"Km 088+200 carretera federal No. 110 Tampico-Colima, tramo Tamazula de Gordiano-La Garita",,,,,,,,,,,Biológicos,"Ecología 2000, S.A. de C.V.",Biorremediación por landfarming a un lado del sitio contaminado,2009,1782.05,,468
96,Pasivo ambiental,"Banca Mifel, S.A.",Ciudad_de_México,Tlalpan,Calzada Acoxpa No. 436 colonia Prado Coapa,Derrames y/o fugas,Fabricación de resinas sintéticas. Actual: Banca múltiple,Industria química. Actual: Instituciones de intermediación crediticia y financiera no bursátil,Hidrocarburos de  fracción media y pesados,Hidrocarburos,192.41,184.72,Si,-99.136,19.298,,,,,,2008,
97,,,,,Km 004+950 de la parte baja de Puente Prieto de la carretera Tampico-Valles,,,,,,,,,,,Biológicos,"Integración de Servicios Ambientales & Limpieza Industrial, S.A. de C.V.",Biorremediación por biopilas a un lado del sitio contaminado,2010,923,,289.05
98,Emergencia ambiental,"Transportes Especializados Cantú Segovia, S.A. de C.V.",Veracruz_de_Ignacio_de_la_Llave,Isla,Km 049+700 carretera estatal Santiago Tuxtla-Isla,Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,227.92,771.8,Si,-95.533,18.147,,,,,,2008,
101,,,,,"Km 177+066 carretera federal No. 190 México-Ciudad Cuauhtémoc, tramo El Camarón-Tehuantepec",,,,,,,,,,,Biológicos,"Ingeniería Ecológica del Sureste, S.A. de C.V.",Biorremediación por biopilas a un lado del sitio contaminado,2009,643,,385
102,,,,,"Km 371+300 carretera federal No. 200 Tepic, Colima-Puente Talismán, tramo Santiago Astata-Salina Cruz",,,,,,,,,,,Biológicos,"Ecología 2000, S.A. de C.V.",Biorremediación por biopilas a un lado del sitio contaminado,2008,248,,164
103,,,,,Estación de combustible del Aeropuerto de Tapachula ubicada en el km 18.5 carretera Puerto Madero ,,,,,,,,,,,Biológicos,"Universidad Nacional Autónoma de México, Instituto de Ingeniería ",Biorremediación por biopilas a un lado del sitio contaminado,2009,3.14,,73.16
104,,,,,Km 056+500 carretera federal No. 190 México-Ciudad Cuauhtémoc tramo Tlacolula-Totolapam,,,,,,,,,,,Biológicos,"Ecología 2000, S.A. de C.V.",Biorremediación por biopilas a un lado del sitio contaminado,2008,320,,436
105,,,,,"Km 309+000 carretera No. 45 México-Ciudad Juárez, retorno El Lobo",,,,,,,,,,,Disposición final,"Integración de Servicios Ambientales & Limpieza Industrial, S.A. de C.V.",Disposición final fuera del sitio,2009,N.E.I.,,30
106,,,,,Km 096+600 carretera Cananea-Imuris,,,,,,,,,,,Disposición final,"Integración de Servicios Ambientales & Limpieza Industrial, S.A. de C.V.",Disposición final fuera del sitio,2009,N.E.I.,,30
107,,,,,Km 014+600 carretera No. 70 Victoria-La Pesca tramo Victoria-El Pirulí,,,,,,,,,,,Biológicos,"Integración de Servicios Ambientales & Limpieza Industrial, S.A. de C.V.",Biorremediación por biopilas a un lado del sitio contaminado,2010,440.78,,140
108,,,,,"Km 305+400 carretera federal No. 54, tramo Zacatecas-Saltillo, paraje Puerto Piñones",,,,,,,,,,,Biológicos,"Integración de Servicios Ambientales & Limpieza Industrial, S.A. de C.V.",Biorremediación por biopilas a un lado del sitio contaminado,2009,215.87,,194.28
110,Emergencia ambiental,Pemex Exploración y Producción,Tamaulipas,Altamira,"Acueducto de 12"" Ø de Batería Arenque a Centro de Recolección a la altura de la laguna El Contadero",Fuga,Extracción de petróleo y gas natural asociado ,Extracción de petróleo y gas,Petróleo crudo,Hidrocarburos,45591.57,N.E.I.,Si,-97.848,22.332,,,,,,2008,
111,,,,,"Km 025+100 carretera No. 57D México-Piedras Negras, tramo libramiento noreste de Querétaro",,,,,,,,,,,Biológicos,"Ecología 2000, S.A. de C.V.",Biorremediación por landfarming a un lado del sitio contaminado,2009,1374,,343.5
112,Emergencia ambiental,"Kansas City Southern de México, S.A. de C.V.",Michoacán_de_Ocampo,Lázaro Cárdenas,Placa kilométrica NE-0184+000 patio de maniobras de la Terminal Ferroviaria Lázaro Cárdenas,Derrame,Transporte por ferrocarril,Transporte por ferrocarril,Petrolíferos,Hidrocarburos,60,N.E.I.,Si,-102.238,17.965,,,,,,2008,
113,,,,,"Km 8 carretera a San Miguel 2da. Sección, C.P. 29500",,,,,,,,,,,Biológicos,"Consultoría Ambiental e Ingeniería, S.A. de C.V.",Biorremediación por landfarming a un lado del sitio contaminado,2012,6784.53,,15596.52
114,,,,,"Km 176+100 carretera No. 57 México-Piedras Negras, tramo límite estado Guanajuato-San Luis Potosí",,,,,,,,,,,Disposición final,"Ecología 2000, S.A. de C.V.",Disposición final fuera del sitio,2009,508,,15
116,,,,,Calle Carlos B. Zetina No. 80 fraccionamiento industrial Xalostoc,,,,,,,,,,,Disposición final,"Corporación Ambiental de México, S.A. de C.V.",Disposición final fuera del sitio,2012,945,,1557
118,Emergencia ambiental,Pemex Refinación,Jalisco,Zapotlanejo,"Km 215+349 poliducto de 16"" Ø Salamanca-Guadalajara, en la comunidad La Paz",Derrame,Refinación de petróleo,Fabricación de productos derivados del petróleo y del carbón,Petrolíferos,Hidrocarburos,208.6,521.51,Si,-103.048,20.552,,,,,,2008,
119,,,,,"Km 014+000 carretera México-Ciudad Cuauhtémoc, tramo La Ventosa-Entidad Guamol",,,,,,,,,,,Biológicos,"Integración de Servicios Ambientales & Limpieza Industrial, S.A. de C.V.",Biorremediación por landfarming en el sitio contaminado,2009,199.43,,159.53
120,,,,,"Km 199+050 carretera nacional No. 200 Acapulco-Zihuatanejo, localidad El Tuzal",,,,,,,,,,,Biológicos,"Integración de Servicios Ambientales & Limpieza Industrial, S.A. de C.V.",Biorremediación por biopilas a un lado del sitio contaminado,2009,85,,273
121,Emergencia ambiental,Pemex Refinación,Hidalgo,Ajacuba," Km 212+865 poliducto de 14""-14"" Ø Poza Rica-Cima de Togo-Refinería Tula",Derrame,Refinación de petróleo,Fabricación de productos derivados del petróleo y del carbón,Petrolíferos,Hidrocarburos,560,3625,Si,-99.112,20.119,,,,,,2008,
122,,,,,"Km 001+000 carretera No. 131 Perote-Teziutlán, tramo Altotonga-Atzalan",,,,,,,,,,,Biológicos,"Ecología 2000, S.A. de C.V.",Biorremediación por landfarming a un lado del sitio contaminado,2009,2350,,52
123,,,,,"Km 088+800 carretera estatal No. 22, tramo Sabinas-Ciudad Anáhuac",,,,,,,,,,,Biológicos,"Ecología 2000, S.A. de C.V.",Biorremediación por landfarming a un lado del sitio contaminado,2009,380,,325
124,,,,,"Km 058+600 carretera No.190 México-Ciudad Cuauhtémoc, tramo entronque Guamol-Tapanatepec",,,,,,,,,,,Biológicos,"Ecología 2000, S.A. de C.V.",Biorremediación por biopilas a un lado del sitio contaminado,2009,132,,212.6
125,Emergencia ambiental,"Usuarios de la Primera Unidad Módulo Uno del Distrito de Riego 023 de San Juan del Río, Qro., A.C.",Querétaro,San Juan del Río,"Km 7 camino al Rancho El Zapote, comunidad La Estancia",Fuga,Construcción de sistemas de riego agrícola,Construcción de obras de ingeniería civil,"Hidrocarburos pesados, petrolíferos",Hidrocarburos,28.1,11.24,Si,-99.981,20.344,,,,,,2008,
126,,,,,Km 052+950 carretera federal No. 90 en el tramo carretero Irapuato-La Piedad ,,,,,,,,,,,Biológicos,"Integración de Servicios Ambientales & Limpieza Industrial, S.A. de C.V.",Biorremediación por biopilas a un lado del sitio contaminado,2009,264.9,,102.12
127,,,,,"Km 220+800 carretera federal No. 37D Pátzcuaro-Lázaro Cárdenas, tramo límite del estado de Guerrero-caseta de peaje Las Cabañas",,,,,,,,,,,Biológicos,"Integración de Servicios Ambientales & Limpieza Industrial, S.A. de C.V.",Biorremediación por biopilas a un lado del sitio contaminado,2010,580.14,,464
129,,,,,Km 011+60 carretera estatal Nacozari-Cerro Blanco,,,,,,,,,,,Combinación de procesos biológicos-térmicos,"Ecología 2000, S.A. de C.V.",Biorremediación por landfarming a un lado del sitio contaminado y co-procesamiento,2009,500,,200
130,,,,,Km 079+400 del camino México-Nogales tramo crucero San Blas-Rosamorada,,,,,,,,,,,Biológicos,"Integración de Servicios Ambientales & Limpieza Industrial, S.A. de C.V.",Biorremediación por biopilas a un lado del sitio contaminado,2009,269.5,,215.6
131,,,,,"Km 74+500 carretera federal No. 2, tramo Sonoyta-San Luis Río Colorado",,,,,,,,,,,Biológicos,"Integración de Servicios Ambientales & Limpieza Industrial, S.A. de C.V.",Biorremediación por biopilas a un lado del sitio contaminado,2010,264.5,,700.9
132,,,,,Km 040+950 carretera nacional No. 200 ,,,,,,,,,,,Disposición final,"Integración de Servicios Ambientales & Limpieza Industrial, S.A. de C.V.",Disposición final fuera del sitio,2009,37.5,,45
133,,,,,Km 010+600 carretera Xalapa-Veracruz,,,,,,,,,,,Biológicos,"Integración de Servicios Ambientales & Limpieza Industrial, S.A. de C.V.",Biorremediación por biopilas a un lado del sitio contaminado,2009,150.13,,150.13
134,,,,,"Km 075+180 carretera No. 180 Matamoros-Puerto Juárez, tramo límite de estado de Tabasco y Campeche",,,,,,,,,,,Biológicos,"Ecología 2000, S.A. de C.V.",Biorremediación por landfarming a un lado del sitio contaminado,2009,460,,368
135,,,,,"Km 174+500 carretera No. 200 Tepic-Puente Talismán, tramo Escuintla-Tres Picos",,,,,,,,,,,Biológicos,"Ecología 2000, S.A. de C.V.",Biorremediación por biopilas a un lado del sitio contaminado,2009,114,,125
136,,,,,"Km 033+000 carretera No. 19 San Pedro-Todos Santos-Cabo San Lucas, tramo San Pedro-Todos Santos",,,,,,,,,,,Biológicos,"Ecología 2000, S.A. de C.V.",Biorremediación por landfarming a un lado del sitio contaminado,2009,605.2,,470.99
137,,,,,"Km 009+400 carretera No. 40 Matamoros-Mazatlán, tramo Durango-Yerbaniz",,,,,,,,,,,Biológicos,"Ecología 2000, S.A. de C.V.",Biorremediación por landfarming a un lado del sitio contaminado,2009,120,,60
138,,,,,"Km 259+900 carretera No. 150D México-Veracruz, tramo Orizaba-Balastrera",,,,,,,,,,,Biológicos,"Integración de Servicios Ambientales & Limpieza Industrial, S.A. de C.V.",Biorremediación por biopilas a un lado del sitio contaminado,2009,127.5,,114.75
139,,,,,"Km 010+700 carretera Matamoros-Puerto Juárez, tramo Campeche-Mérida",,,,,,,,,,,Biológicos,"Ecología 2000, S.A. de C.V.",Biorremediación por landfarming a un lado del sitio contaminado,2009,99.26,,125
140,Emergencia ambiental,Pemex Refinación,Veracruz_de_Ignacio_de_la_Llave,Tierra Blanca,"Km 015+600 poliducto de 8"" Ø, Tierra Blanca-Veracruz, en el poblado de Paso las Llamas",Derrame,Refinación de petróleo,Fabricación de productos derivados del petróleo y del carbón,Petrolíferos,Hidrocarburos,205,369,Si,-96.333,18.598,,,,,,2008,
141,Emergencia ambiental,Pemex Refinación,Veracruz_de_Ignacio_de_la_Llave,Actopan,"Km 314+600 oleoducto de 30"" Ø Nuevo Teapa-Poza Rica, en el Ejido Palmas de Abajo",Derrame,Refinación de petróleo,Fabricación de productos derivados del petróleo y del carbón,Petróleo crudo,Hidrocarburos,1792,6781.24,Si,-96.399,19.615,,,,,,2008,
142,,,,,Km 033+700 autopista Tlaxco-Huauchinango,,,,,,,,,,,Disposición final,"Ecología 2000, S.A. de C.V.",Disposición final fuera del sitio,2009,120,,78
143,,,,,"Km 234+000 carretera No. 150 México-Veracruz, tramo Puebla-Orizaba",,,,,,,,,,,Combinación de procesos biológicos-disposición final,"Integración de Servicios Ambientales & Limpieza Industrial, S.A. de C.V.",Biorremediación por landfarming en el sitio contaminado y disposición final fuera del sitio,2010,824,,387.3
144,Pasivo ambiental,"Corporación Gasolinera Millenium, S.A. de C.V.",Jalisco,Guadalajara,"Estación de Servicio No. 1515, calle Mezquitan No. 39 esquina avenida Hidalgo colonia Centro",Derrames y/o fugas,Comercio al por menor de gasolina y diésel,"Comercio al por menor de vehículos de motor, refacciones, combustibles y lubricantes",Hidrocarburos,Hidrocarburos,N.E.I.,N.E.I.,No,-103.354,20.677,,,,,,2008,
145,,,,,"Km 12.3 carretera Coatzacoalcos-Villahermosa, complejo Cangrejera",,,,,,,,,,,Combinación de procesos físico-térmicos,"Corporación Ambiental de México, S.A. de C.V.","Co-procesamiento, bioventeo aerobio en el sitio contaminado y extracción de vapores en el sitio contaminado",2020,146.8,,295.86
146,Emergencia ambiental,Pemex Refinación,Baja_California,Tijuana,"Km 017+200 poliducto de 10""-8"" Ø, Rosarito-Mexicali",Derrame,Refinación de petróleo,Fabricación de productos derivados del petróleo y del carbón,Petrolíferos,Hidrocarburos,380.79,2854.47,Si,-116.906,32.415,,,,,,2008,
147,Emergencia ambiental,"Pride Drilling, L.L.C.",Campeche,Carmen,Puerto Industrial Pesquero Isla del Carmen,Derrame,Perforación de pozos petroleros y de gas,Servicios relacionados con la minería,Petrolíferos,Hidrocarburos,2440,100,Si,-91.848,18.652,,,,,,2008,
148,Pasivo ambiental,"SRC de México, S.A. de C.V.",Jalisco,Guadalajara,Boulevard General Marcelino García Barragán No. 1610,Derrames y/o fugas,Fabricación de componentes electrónicos,"Fabricación de equipo de computación, comunicación, medición y de otros equipos, componentes y accesorios electrónicos","Hidrocarburos, metales, metaloides",Mezcla de contaminantes,N.E.I.,N.E.I.,No,-103.326,20.653,,,,,,2008,
149,,,,,"Km 052+500 carretera No. 200 Tepic-Puente Talismán, tramo Las Varas-Compostela",,,,,,,,,,,Biológicos,"Integración de Servicios Ambientales & Limpieza Industrial, S.A. de C.V.",Biorremediación por landfarming en el sitio contaminado,2010,275,,233.7
150,,,,,"Km 021+300 carretera No. 14 Morelia-Uruapan, tramo entronque Morelia-Lagunillas",,,,,,,,,,,Biológicos,"Integración de Servicios Ambientales & Limpieza Industrial, S.A. de C.V.",Biorremediación por landfarming en el sitio contaminado,2010,206.36,,197.8
